entity_term,entity_name
Fibrillation paroxysmal atrial,adverse
Flutter/fib,adverse
Paroxysmal atrial fibrillation,adverse
Tachyarrhythmia absoluta,adverse
Atrial fibrillation with rapid ventricular response,adverse
Arrhythmia absoluta,adverse
Chronic atrial fibrillation,adverse
Recurrent atrial fibrillation,adverse
Recurrent symptomatic atrial fibrillation,adverse
Persistent atrial fibrillation,adverse
Permanent atrial fibrillation,adverse
Atrial fibrillation with slow ventricular response,adverse
Atrial flutter,adverse
Flutter atrial,adverse
Paroxysmal atrial flutter,adverse
Atrial flutter with 1:1 atrioventricular conduction,adverse
Atrial flutter with rapid ventricular response,adverse
Atrial flutter with slow ventricular response,adverse
Atrial septal defect,adverse
Atrial septal defect NOS,adverse
Congenital atrial septal defect,adverse
Defect artrial septum,adverse
Foramen ovale patent,adverse
Heart septal defect atrial,adverse
IA septal defect,adverse
Interatrial foramen secundum defect,adverse
Ostium primum defect,adverse
Ostium secundum defect,adverse
Ostium secundum type atrial septal defect,adverse
Septal defect interatrial,adverse
Septum atrial patent,adverse
Interauricular communication,adverse
Coronary sinus type atrial septal defect,adverse
Sinus venosus atrial septum defect,adverse
Atrial septal defect acquired,adverse
Atrial tachycardia,adverse
Paroxysmal atrial tachycardia,adverse
Tachycardia atrial,adverse
Tachycardia paroxysmal atrial,adverse
Multifocal atrial tachycardia,adverse
Atrial ectopic tachycardia,adverse
Atrioventricular block,adverse
Atrioventricular block (NOS),adverse
Atrioventricular block incomplete,adverse
Atrioventricular block NOS,adverse
"Atrioventricular block, other and unspecified",adverse
"Atrioventricular block, unspecified",adverse
AV block,adverse
AV block (NOS),adverse
Block heart,adverse
Block incomplete,adverse
Heart block,adverse
Heart block atrioventricular,adverse
Heart block AV,adverse
Heart block NOS,adverse
Nodal block,adverse
Other heart block,adverse
Heart block (NOS),adverse
Depression of AV node,adverse
Atrioventricular block complete,adverse
"Atrioventricular block, complete",adverse
AV block complete,adverse
AV block third degree,adverse
Complete heart block,adverse
Heart block AV complete,adverse
Heart block AV complete with asystole,adverse
Heart block AV third degree,adverse
Heart block complete,adverse
Heart block third degree,adverse
Third degree AV block,adverse
Atrioventricular block third degree,adverse
Transient AV block complete,adverse
1st degree heart block,adverse
Atrioventricular block first degree,adverse
Atrioventricular conduction time prolonged,adverse
AV block first degree,adverse
First degree atrioventricular block,adverse
Heart block 1st degree,adverse
Heart block AV first degree,adverse
Heart block first degree,adverse
2nd degree heart block,adverse
Atrioventricular block second degree,adverse
AV block second degree,adverse
Heart block AV second degree,adverse
Heart block second degree,adverse
Mobitz (type) II atrioventricular block,adverse
Mobitz type I,adverse
Mobitz type II,adverse
Other second degree atrioventricular block,adverse
Wenckebach,adverse
Wenckebach phenomenon,adverse
Type I second degree atrioventricular block,adverse
Type II second degree atrioventricular block,adverse
High grade atrioventricular block,adverse
Atrophic vaginitis,adverse
Atrophic vulva,adverse
Atrophic vulvitis,adverse
Atrophic vulvovaginitis,adverse
Atrophy of vulva,adverse
Postmenopausal atrophic vaginitis,adverse
Senile vaginitis,adverse
Vaginitis atrophic,adverse
Vaginitis atropic,adverse
Vulval atrophic,adverse
Vulvovaginal atrophy,adverse
Vulvovaginitis atrophic,adverse
Vulvovaginitis atrophy,adverse
Atrophy,adverse
Atrophy NOS,adverse
ADDH,adverse
Attention deficit disorder,adverse
Attention deficit disorder of childhood,adverse
Attention deficit disorder of childhood with hyperactivity,adverse
Attention deficit-hyperactivity disorder,adverse
Attention deficit/hyperactivity disorder,adverse
Attention deficit/hyperactivity disorder NOS,adverse
Hyperactive child syndrome,adverse
Hyperkinesis of childhood with developmental delay,adverse
Hyperkinetic conduct disorder of childhood,adverse
Hyperkinetic syndrome,adverse
Hyperkinetic syndrome of childhood,adverse
Overactive child,adverse
Syndrome hyperkinetic,adverse
Unspecified hyperkinetic syndrome of childhood,adverse
Hyperactivity syndrome aggravated,adverse
ADHD,adverse
"ADHD, combined type",adverse
"ADHD, predominantly hyperactive-impulsive type",adverse
"ADHD, predominantly inattentive type",adverse
Attention-seeking behaviour,adverse
Attention-seeking behavior,adverse
Atypical attention deficit syndrome,adverse
Atypical mycobacterial lymphadenitis,adverse
MAC lymphadenitis,adverse
MAI lymphadenitis,adverse
Mycobacterium avium complex lymphadenitis,adverse
Mycobacterium avium intracellulare lymphadenitis,adverse
Mycobacterium kansasii lymphadenitis,adverse
Atypical pneumonia,adverse
Pneumonia primary atypical,adverse
Primary atypical pneumonia,adverse
Walking pneumonia,adverse
Audiogram abnormal,adverse
Audiometric abnormalities,adverse
Audiometric test abnormal,adverse
Audiometric test childhood abnormal,adverse
Audiometry abnormal,adverse
Audiometry childhood abnormal,adverse
Bekesy automatic audiometry abnormal,adverse
Childhood audiometry abnormal,adverse
Conditioned orientation response audiometry abnormal,adverse
Electronic audiometry abnormal,adverse
Nonspecific abnormal auditory function studies,adverse
Speech audiometry abnormal,adverse
Visual response audiometry abnormal,adverse
"Abnormal auditory perception, unspecified",adverse
Auditory disorder,adverse
Auditory disorder (NOS),adverse
Auditory disorder NOS,adverse
Impairment of auditory discrimination,adverse
Other abnormal auditory perception,adverse
Auditory recruitment,adverse
Aura,adverse
Aura NOS,adverse
Aural polyp,adverse
Ear polyp,adverse
Auditory canal polyp,adverse
Auricular haematoma,adverse
Auricular hematoma,adverse
Hematoma of auricle or pinna,adverse
Auricular swelling,adverse
Swelling auricular,adverse
Autoimmune hepatitis,adverse
Hepatitis autoimmune,adverse
Automatism,adverse
Automatism NEC,adverse
Automatism epileptic,adverse
"Automatism, epileptic",adverse
"Automatism, command",adverse
Autonomic imbalance,adverse
Autonomic nervous system imbalance,adverse
Dysautonomia,adverse
Imbalance autonomic nervous system,adverse
Instability vasomotor,adverse
Autonomic instability,adverse
Autonomic dysfunction,adverse
Autonomic vascular dystonia,adverse
Psychovegetative syndrome,adverse
Vegetative dystonia,adverse
Neurovegetative neurosis,adverse
Neurocirculatory dystonia,adverse
Vasoneurosis,adverse
Vegetovascular dystonia,adverse
Vegetative neurosis,adverse
Vegetative nerve functional disturbance,adverse
Avoidant personality,adverse
Avoidant personality disorder,adverse
Axillary nerve injury,adverse
Injury to axillary nerve,adverse
Axillary vein thrombosis,adverse
Axonal neuropathy,adverse
Azoospermia,adverse
Azospermia,adverse
Spermatogenesis arrest,adverse
Spermatogenesis arrested,adverse
Spermatogenesis reversible inhibition of,adverse
Azotaemia,adverse
Azotemia,adverse
Azotemia of renal origin,adverse
Azotemia renal,adverse
Hypernitraemia,adverse
Hypernitraemia due to urea,adverse
Syndrome uremic,adverse
Uraemia,adverse
Uraemia of renal origin,adverse
Uraemia primary symptom,adverse
Uraemia primary symptoms,adverse
Uraemic syndrome,adverse
Uremia,adverse
Uremia of renal origin,adverse
Uremic syndrome,adverse
Hypernitremia,adverse
Hypernitremia due to urea,adverse
Uremia primary symptoms,adverse
Azotaemia of renal origin,adverse
Azotaemia renal,adverse
Syndrome uraemic,adverse
Progressive azotemia,adverse
Progressive azotaemia,adverse
B precursor type acute leukaemia,adverse
B precursor type acute leukemia,adverse
Precursor B-lymphoblastic leukaemia acute,adverse
Precursor B-lymphoblastic leukemia acute,adverse
B-cell lymphoma,adverse
B-cell lymphoma NOS,adverse
Nodular (follicular) lymphoma,adverse
Nodular lymphoma,adverse
Follicular B-cell non-Hodgkin's lymphoma,adverse
Pediatric-type follicular lymphoma,adverse
Duodenal-type follicular lymphoma,adverse
In situ follicular lymphoma,adverse
"Follicular B-cell non-Hodgkin's lymphoma, unclassifiable",adverse
In situ follicular neoplasia,adverse
Paediatric-type follicular lymphoma,adverse
B-cell lymphoma recurrent,adverse
B-cell lymphoma refractory,adverse
B-cell lymphoma stage I,adverse
Nodular lymphoma involving intra-abdominal lymph nodes,adverse
Nodular lymphoma involving intrapelvic lymph nodes,adverse
Nodular lymphoma involving intrathoracic lymph nodes,adverse
B-cell lymphoma stage II,adverse
B-cell lymphoma stage III,adverse
Nodular lymphoma involving spleen,adverse
B-cell lymphoma stage IV,adverse
B-cell chronic lymphocytic leukaemia/prolymphocytic leukaemia/small lymphocytic lymphoma,adverse
B-cell small lymphocytic lymphoma,adverse
B-cell small lymphocytic lymphoma NOS,adverse
"B-Lymphocytic, CLL (Kiel Classification)",adverse
Lymphoplasmacytoid immunocytoma,adverse
Small lymphocyte B lymphoma (Lukes-Collins Classification),adverse
Small cell lymphocytic lymphoma,adverse
B-cell chronic lymphocytic leukemia/prolymphocytic leukemia/small lymphocytic lymphoma,adverse
B-cell small lymphocytic lymphoma recurrent,adverse
"B-Lymphocytic, CLL (Kiel Classification) recurrent",adverse
Lymphoplasmacytoid immunocytoma recurrent,adverse
Small lymphocyte B lymphoma (Lukes-Collins Classification) recurrent,adverse
B-cell small lymphocytic lymphoma refractory,adverse
"B-Lymphocytic, CLL (Kiel Classification) refractory",adverse
Lymphoplasmacytoid immunocytoma refractory,adverse
Small lymphocyte B lymphoma (Lukes-Collins Classification) refractory,adverse
B-cell small lymphocytic lymphoma stage I,adverse
"B-Lymphocytic, CLL (Kiel Classification) stage I",adverse
Lymphoplasmacytoid immunocytoma stage I,adverse
B-cell small lymphocytic lymphoma stage II,adverse
"B-Lymphocytic, CLL (Kiel Classification) stage II",adverse
Lymphoplasmacytoid immunocytoma stage II,adverse
B-cell small lymphocytic lymphoma stage III,adverse
"B-Lymphocytic, CLL (Kiel Classification) stage III",adverse
Lymphoplasmacytoid immunocytoma stage III,adverse
B-cell small lymphocytic lymphoma stage IV,adverse
"B-Lymphocytic, CLL (Kiel Classification) stage IV",adverse
Lymphoplasmacytoid immunocytoma stage IV,adverse
B-cell type acute leukaemia,adverse
B-cell type acute leukaemia NOS,adverse
B-cell type acute leukemia,adverse
B-cell type acute leukemia NOS,adverse
B-cell unclassifiable lymphoma high grade,adverse
B-cell unclassifiable lymphoma low grade,adverse
Babesia,adverse
Babesiosis,adverse
Angiomatosis bacillary,adverse
Bacillary angiomatosis,adverse
Bacillary peliosis hepatis,adverse
Back disorder,adverse
Back disorder NOS,adverse
Dorsopathy,adverse
Other and unspecified disorders of back,adverse
Other symptoms referable to back,adverse
Other unspecified back disorders,adverse
Acute back injury,adverse
Back crushing,adverse
Back injury,adverse
Back injury NOS,adverse
Crushing injury of back,adverse
Open wound of back,adverse
"Open wound of back, complicated",adverse
Acute back pain,adverse
Back ache,adverse
Back distress,adverse
Back pain,adverse
Back pain (with radiation),adverse
Back pain (without radiation),adverse
Backache,adverse
"Backache, unspecified",adverse
Chronic back pain,adverse
Dorsal pain,adverse
Loin pain,adverse
Low back ache,adverse
Low back pain,adverse
Low back pain (without radiation),adverse
Lumbago,adverse
Lumbago (excl lumbar disc lesion),adverse
Lumbar pain,adverse
Lumbo-sacral pain,adverse
Other back pain with radiating symptoms,adverse
Pain back,adverse
Pain dorsal,adverse
Pain loin,adverse
Pain lumbosacral,adverse
Pain over the back,adverse
Sore back,adverse
Upper back pain,adverse
Back pain aggravated,adverse
Sacral pain,adverse
Acute lumbago,adverse
Chronic lumbago,adverse
Dorsalgia,adverse
Lumbar syndrome,adverse
Lumbalgia,adverse
Lumbodynia,adverse
Thoracic back pain,adverse
Bacteraemia,adverse
"Bacteraemia, unspecified",adverse
Bacteremia,adverse
Unspecified bacteraemia,adverse
Unspecified bacteremia,adverse
Gram-negative bacteraemia,adverse
Gram-negative bacteremia,adverse
"Bacteremia, unspecified",adverse
Gram-positive bacteraemia,adverse
Gram-positive bacteremia,adverse
Transient bacteraemia,adverse
Transient bacteremia,adverse
Bacterial abscess central nervous system,adverse
Bacterial diarrhoea,adverse
Bacterial diarrhea,adverse
Acute bacterial diarrhea,adverse
Acute bacterial diarrhoea,adverse
Bacterial disease carrier,adverse
Tuberculosis carrier,adverse
Streptococcal colonization,adverse
Staphylococcal colonization,adverse
Enterococcus colonization,adverse
Streptococcal colonisation,adverse
Staphylococcal colonisation,adverse
Enterococcus colonisation,adverse
MRSA colonization,adverse
Pseudomonas colonization,adverse
MRSA colonisation,adverse
Pseudomonas colonisation,adverse
Bacterial colonization,adverse
Bacterial colonisation,adverse
Nasal staphylococcus carrier,adverse
Bacterial food poisoning,adverse
Bacterial food poisoning NOS,adverse
Other bacterial food poisoning,adverse
Other food poisoning (bacterial),adverse
Other specified bacterial food poisoning,adverse
Bacterial pericarditis,adverse
Bacterial toxaemia,adverse
Toxaemia bacterial NOS,adverse
Toxemia bacterial,adverse
Toxaemia,adverse
Toxemia,adverse
Toxaemia bacterial,adverse
Bacterial vaginosis,adverse
Vaginosis bacterial,adverse
Vaginosis bacterial NOS,adverse
Cytolytic vaginosis,adverse
Cytolytic vaginitis,adverse
Vaginal dysbacteriosis,adverse
Vaginal flora imbalance,adverse
Bacteriuria,adverse
Bacteriuria (excl in pregnancy),adverse
Bacteriuria NOS,adverse
Bacteriuria NOS absent,adverse
Bacteriuria NOS present,adverse
Asymptomatic bacteriuria antepartum,adverse
Asymptomatic bacteriuria in pregnancy,adverse
"Asymptomatic bacteriuria in pregnancy, with delivery",adverse
Asymptomatic bacteriuria postpartum,adverse
Bacteriuria in pregnancy,adverse
Balanitis candida,adverse
Balanitis monilial,adverse
Candidal balanitis,adverse
Monilial balanitis,adverse
Penile candida,adverse
Penile thrush,adverse
Thrush balanitis,adverse
Balanitis,adverse
Balanitis NOS,adverse
Balanoposthitis,adverse
Other inflammatory disorders of penis,adverse
Penis inflammation,adverse
Posthitis,adverse
Posthitis NOS,adverse
Balanoposthitis aggravated,adverse
Balantidiasis,adverse
Balantidium coli,adverse
Barium enema abnormal,adverse
Barium meal abnormal,adverse
Barium meal and follow through abnormal,adverse
Barium swallow abnormal,adverse
Aerotitis,adverse
Barotitis media,adverse
"Barotrauma, otitic",adverse
Barotitis,adverse
Barrel chest,adverse
Barrett's esophagus,adverse
Barrett's oesophagitis,adverse
Barrett's oesophagitis with dysplasia,adverse
Barrett's oesophagus,adverse
Pre-malignant changes to oesophagus,adverse
Premalignant changes to esophagus,adverse
Endobrachyoesophagus,adverse
Pre-malignant changes to esophagus,adverse
Endobrachyooesophagus,adverse
Barrett's esophagitis with dysplasia,adverse
Oesophageal intestinal metaplasia,adverse
Esophageal intestinal metaplasia,adverse
Premalignant changes to oesophagus,adverse
Barrett's esophagitis,adverse
Oesophageal gastric cardia type metaplasia,adverse
Esophageal gastric cardia type metaplasia,adverse
Oesophageal irregular z-line,adverse
Esophageal irregular z-line,adverse
Oesophageal elevated z-line,adverse
Esophageal elevated z-line,adverse
Abscess Bartholin's,adverse
Abscess of Bartholin's gland,adverse
Bartholin's abscess,adverse
Bartholin's cyst,adverse
Cyst of Bartholin's gland,adverse
Bartholinitis,adverse
Bartonellosis,adverse
Basal cell carcinoma,adverse
Basal cell epithelioma,adverse
Carcinoma basal cell,adverse
Fibroepithelioma of pinkus,adverse
Lip basal cell carcinoma,adverse
Metatypical basal cell carcinoma,adverse
Morpheaform basal cell carcinoma,adverse
Nodulo-ulcerative basal cell carcinoma,adverse
Pigmented basal cell carcinoma,adverse
Rodent ulcer,adverse
Sclerosing basal cell carcinoma,adverse
Superficial basal cell carcinoma,adverse
Morphoeaform basal cell carcinoma,adverse
Basal cell carcinoma of skin in situ,adverse
Basal cell carcinoma recurrent,adverse
Fibroepithelial basal cell carcinoma,adverse
Keratotic basal cell carcinoma,adverse
Micronodular basal cell carcinoma,adverse
Nodular basal cell carcinoma,adverse
Basalioma,adverse
Basal cell carcinoma of eyelid,adverse
Basal ganglion degeneration,adverse
Other degenerative diseases of the basal ganglia,adverse
Basedow's disease,adverse
Disease Graves',adverse
Exophthalmic goiter,adverse
Exophthalmic goitre,adverse
Goiter exophthalmic,adverse
Graves' disease,adverse
Toxic diffuse goiter,adverse
Toxic diffuse goitre,adverse
Graves-Basedow disease,adverse
Autoimmune hyperthyroidism,adverse
Goitre exophthalmic,adverse
Basilar artery stenosis,adverse
Basophil count decreased,adverse
Blood basophils decreased,adverse
Plasma basophils decreased,adverse
Serum basophils decreased,adverse
Basophil count high,adverse
Basophil count increased,adverse
Blood basophils increased,adverse
Plasma basophils increased,adverse
Serum basophils increased,adverse
Basophilia,adverse
Basophilic granulocytosis,adverse
Basal squamous cell carcinoma,adverse
Basi squamous cell carcinoma,adverse
Basosquamous carcinoma,adverse
Carcinoma basosquamous,adverse
Basosquamous carcinoma of skin,adverse
Carcinoma basosquamous of skin,adverse
Becker's naevus,adverse
Becker's nevus,adverse
Pigmented hairy epidermal naevus,adverse
Pigmented hairy epidermal nevus,adverse
Bed bug infestation,adverse
Bed bugs,adverse
Cimex hemipterus infestation,adverse
Cimex lectularius infestation,adverse
Arthropathy in Behcet's syndrome,adverse
Arthropathy in Behcet's syndrome involving forearm,adverse
Arthropathy in Behcet's syndrome involving hand,adverse
Arthropathy in Behcet's syndrome involving lower leg,adverse
Arthropathy in Behcet's syndrome involving multiple sites,adverse
Arthropathy in Behcet's syndrome involving shoulder region,adverse
Arthropathy in Behcet's syndrome involving upper arm,adverse
"Arthropathy in Behcet's syndrome, site unspecified",adverse
Behcet syndrome,adverse
Behcet's disease,adverse
Behcet's syndrome,adverse
Behcet-like symptom,adverse
Behcets disease,adverse
Gastro-intestinal Behcet disease,adverse
Gastro-intestional Behcet disease,adverse
Neuro-Behcet disease,adverse
Behcet's disease aggravated,adverse
Bipolar aphthosis,adverse
Behcet's uveitis,adverse
Vasculo-Behcet disease,adverse
Belligerence,adverse
Belligerency,adverse
Pugnacious,adverse
Reaction belligerent,adverse
Bence Jones proteinuria,adverse
Bence Jones proteinuria absent,adverse
Bence Jones proteinuria present,adverse
Benign breast neoplasm,adverse
Benign breast neoplasm NOS,adverse
Benign neoplasm of breast,adverse
Breast lump (benign),adverse
Breast neoplasm benign female,adverse
Breast tumor benign,adverse
Breast tumour benign,adverse
Breast neoplasm benign male,adverse
Benign cardiac neoplasm,adverse
Benign neoplasm of heart,adverse
Benign duodenal neoplasm,adverse
Benign familial chronic pemphigus,adverse
Benign familial pemphigus,adverse
Familial benign pemphigus,adverse
Hailey-Hailey disease,adverse
Benign gastric neoplasm,adverse
Benign neoplasm of stomach,adverse
Benign hepatic neoplasm,adverse
Benign hepatic neoplasm NOS,adverse
Benign neoplasms of liver,adverse
Benign tumor of liver,adverse
Hepatic neoplasm benign,adverse
Benign tumour of liver,adverse
Benign hydatidiform mole,adverse
Hydatidiform mole,adverse
Hydatidiform mole benign,adverse
Hydatidiform mole NOS,adverse
Molar pregnancy,adverse
Benign laryngeal neoplasm,adverse
Benign neoplasm of larynx,adverse
Laryngeal neoplasm benign NOS,adverse
Larynx neoplasm benign,adverse
Polyp of vocal cord or larynx,adverse
Benign lung neoplasm,adverse
Benign neoplasm of bronchus and lung,adverse
Pulmonary hamartoma,adverse
Pulmonary chondroma,adverse
Benign mediastinal neoplasm,adverse
Benign mediastinal neoplasm NOS,adverse
Benign neoplasm of mediastinum,adverse
Benign middle ear neoplasm,adverse
Benign adrenal neoplasm NOS,adverse
Benign neoplasm of adrenal gland,adverse
Benign neoplasm of suprarenal gland,adverse
Adrenal myelolipoma,adverse
Benign bladder neoplasm NOS,adverse
Benign neoplasm of bladder,adverse
Bladder leiomyoma,adverse
Benign cervical tumour,adverse
Benign cervix uteri neoplasm NOS,adverse
Benign neoplasm of cervix uteri,adverse
Benign cervical tumor,adverse
Benign neoplasm of choroid,adverse
Benign neoplasm of conjunctiva,adverse
Benign neoplasm of cornea,adverse
Benign epididymal neoplasm NOS,adverse
Benign neoplasm of epididymis,adverse
Benign eye neoplasm NOS,adverse
Benign neoplasm of eye,adverse
"Benign neoplasm of eye, part unspecified",adverse
Benign neoplasm of islets of Langerhans,adverse
Pancreatic islet cell neoplasm benign NOS,adverse
Benign neoplasm of lacrimal duct,adverse
Benign neoplasm of lacrimal gland,adverse
Benign neoplasm of orbit,adverse
Benign neoplasm of pineal gland,adverse
Benign neoplasm of pineal gland NOS,adverse
Benign neoplasm of prostate,adverse
Benign prostatic neoplasm NOS,adverse
Benign neoplasm of retina,adverse
Benign retinal neoplasm NOS,adverse
Benign neoplasm of scrotum,adverse
Benign scrotal neoplasm NOS,adverse
Benign neoplasm of skin,adverse
Benign neoplasm of skin of lip,adverse
"Benign neoplasm of skin, site unspecified",adverse
Benign skin neoplasm NOS,adverse
Skin benign neoplasm,adverse
Benign neoplasm of spinal cord,adverse
Benign spinal cord neoplasm NOS,adverse
Spinal cord neoplasm benign NOS,adverse
Benign neoplasm of testis,adverse
Benign testicular neoplasm NOS,adverse
Benign neoplasm of thymus,adverse
Benign neoplasm of thyroid gland,adverse
Benign neoplasm of thyroid glands,adverse
Benign thyroid neoplasm NOS,adverse
Benign thyroid nodule,adverse
Benign neoplasm of ureter,adverse
Benign ureteric neoplasm NOS,adverse
Benign neoplasm of urethra,adverse
Benign urethral neoplasm NOS,adverse
Benign neoplasm of esophagus,adverse
Benign neoplasm of oesophagus,adverse
Benign oesophageal neoplasm,adverse
Esophageal tumor benign,adverse
Benign esophageal neoplasm,adverse
Oesophageal tumour benign,adverse
Benign neoplasm of ovary,adverse
Benign ovarian tumor,adverse
Benign ovarian tumour,adverse
Ovarian tumor benign,adverse
Ovarian tumour benign,adverse
Ovarian myoma,adverse
Benign neoplasm of penis,adverse
Benign penile neoplasm,adverse
Benign neoplasm of retroperitoneum and peritoneum,adverse
Benign peritoneal neoplasm,adverse
Benign pleural mesothelioma,adverse
Pleural mesothelioma benign,adverse
Benign neoplasm of pleura,adverse
Benign pleural neoplasm,adverse
Benign prostatic hyperplasia,adverse
Benign prostatic hypertrophy,adverse
Enlarged prostate (benign),adverse
Hyperplasia of prostate,adverse
Hyperplasia of the prostate,adverse
Prostatic hyperplasia,adverse
Prostatic hypertrophy,adverse
Prostatic hypertrophy (benign),adverse
Benign neoplasm of major salivary glands,adverse
Benign salivary gland neoplasm,adverse
Salivary gland neoplasm benign NOS,adverse
Benign parotid tumor,adverse
Benign parotid tumour,adverse
Benign neoplasm of trachea,adverse
Benign tracheal neoplasm,adverse
Benign neoplasm of vagina,adverse
Benign vaginal neoplasm,adverse
Benign vaginal tumor,adverse
Benign vaginal tumour,adverse
Vaginal neoplasm benign,adverse
Benign neoplasm of vulva,adverse
Benign vulval neoplasm,adverse
Berylliosis,adverse
Beta 2 microglobulin decreased,adverse
Beta 2 microglobulin low,adverse
Beta 2 microglobulin high,adverse
Beta 2 microglobulin increased,adverse
Serum beta 2 microglobulin increased,adverse
Serum beta2 microglobulin increased,adverse
Beta 2 microglobulin urine decreased,adverse
Beta 2 microglobulin urine low,adverse
Beta 2 microglobulin urine increased,adverse
Urinary beta 2 microglobulin urine increased,adverse
Urinary beta2 microglobulin increased,adverse
Beta-N-acetyl-D-glucosaminidase abnormal,adverse
Beta-N-acetyl-D-glucosaminidase abnormal NOS,adverse
Beta-N-acetyl-D-glucosaminidase decreased,adverse
Beta-N-acetyl-D-glucosaminidase low,adverse
Beta-N-acetyl-D-glucosaminidase high,adverse
Beta-N-acetyl-D-glucosaminidase increased,adverse
NAG increased,adverse
Bezoar,adverse
Phytobezoar,adverse
Pharmacobezoar,adverse
Bicuspid aortic valve,adverse
Bilateral breast buds,adverse
Breast buds bilateral,adverse
Bile duct adenocarcinoma,adverse
Bile duct adenocarcinoma non-resectable,adverse
Bile duct adenocarcinoma recurrent,adverse
Bile duct adenocarcinoma resectable,adverse
Bile duct clear cell adenocarcinoma,adverse
Bile duct clear cell adenocarcinoma non-resectable,adverse
Bile duct clear cell adenocarcinoma recurrent,adverse
Bile duct clear cell adenocarcinoma resectable,adverse
Bile duct mucinous adenocarcinoma,adverse
Bile duct mucinous adenocarcinoma non-resectable,adverse
Bile duct mucinous adenocarcinoma recurrent,adverse
Bile duct mucinous adenocarcinoma resectable,adverse
Bile duct papillary adenocarcinoma,adverse
Bile duct papillary adenocarcinoma non-resectable,adverse
Bile duct papillary adenocarcinoma recurrent,adverse
Bile duct papillary adenocarcinoma resectable,adverse
Bile duct signet-ring cell carcinoma,adverse
Bile duct signet-ring cell carcinoma recurrent,adverse
Bile duct adenosquamous carcinoma,adverse
Bile duct adenosquamous carcinoma non-resectable,adverse
Bile duct adenosquamous carcinoma recurrent,adverse
Bile duct adenosquamous carcinoma resectable,adverse
Bile duct cancer,adverse
Bile duct cancer non-resectable,adverse
Bile duct cancer NOS,adverse
Bile duct cancer resectable,adverse
Bile duct carcinoma,adverse
Bile duct carcinoma non-resectable,adverse
Bile duct carcinoma resectable,adverse
Bile duct oat cell carcinoma,adverse
Bile duct oat cell carcinoma non-resectable,adverse
Bile duct oat cell carcinoma resectable,adverse
Bile duct signet-ring cell carcinoma nonresectable,adverse
Bile duct signet-ring cell carcinoma resectable,adverse
Bile duct small cell carcinoma,adverse
Bile duct small cell carcinoma non-resectable,adverse
Bile duct small cell carcinoma resectable,adverse
Bile duct undifferentiated carcinoma,adverse
Bile duct undifferentiated carcinoma non-resectable,adverse
Bile duct undifferentiated carcinoma resectable,adverse
"Bile ducts, cancer of",adverse
"Bile ducts, cancer of, nonresectable",adverse
"Bile ducts, cancer of, resectable",adverse
Biliary carcinoma,adverse
Biliary carcinoma non-resectable [Ref.20695],adverse
Biliary carcinoma resectable [Ref.20695],adverse
Carcinoma bile duct,adverse
Carcinoma bile duct non-resectable,adverse
Carcinoma bile duct resectable,adverse
Extrahepatic bile duct cancer,adverse
Malignant neoplasm of extrahepatic bile ducts,adverse
Bile duct cancer recurrent,adverse
Bile duct carcinoma recurrent,adverse
Bile duct oat cell carcinoma recurrent,adverse
Bile duct small cell carcinoma recurrent,adverse
Bile duct undifferentiated carcinoma recurrent,adverse
"Bile ducts, cancer of, recurrent",adverse
Biliary carcinoma recurrent [Ref.20695],adverse
Carcinoma bile duct recurrent,adverse
Bile duct squamous cell carcinoma,adverse
Bile duct squamous cell carcinoma non-resectable,adverse
Bile duct squamous cell carcinoma recurrent,adverse
Bile duct squamous cell carcinoma resectable,adverse
Bile duct stone,adverse
Bile duct stone with cholecystitis,adverse
"Bile duct stone with cholecystitis, obstructive",adverse
Calculus common bile duct,adverse
Calculus cystic duct,adverse
Calculus of bile duct with other cholecystitis,adverse
Common bile duct calculus,adverse
Common bile duct stone,adverse
Cystic duct stone,adverse
Stones common duct,adverse
Choledocholithiasis,adverse
Hepatolith,adverse
Intrahepatic stone,adverse
Biliary cirrhosis,adverse
Biliary cirrhosis NOS,adverse
Biliary cirrhosis secondary,adverse
Cirrhosis bilary,adverse
Cirrhosis biliary,adverse
Biliary colic,adverse
Biliary pain,adverse
Biliary spasm,adverse
Colic biliary,adverse
Gallbladder pain,adverse
Pain biliary,adverse
Spasm biliary,adverse
Gallstone attack,adverse
Cholecystalgia,adverse
Biliary fibrosis,adverse
Fibrosis biliary,adverse
Biliary fistula,adverse
Fistula of bile duct,adverse
Biliocutaneous fistula,adverse
Choledochoduodenal fistula,adverse
Biliary neoplasia,adverse
Biliary neoplasm,adverse
Biliary neoplasm NOS,adverse
Neoplasm biliary tract,adverse
Bilirubin conjugated increased,adverse
Conjugated bilirubin level increased,adverse
Conjugated bilirubin level raised,adverse
Direct bilirubin increased,adverse
Bilirubinuria,adverse
Binge eating,adverse
Abdominal wall biopsy abnormal,adverse
Biopsy abdominal wall abnormal,adverse
Adrenal gland biopsy abnormal,adverse
Biopsy adrenal gland abnormal,adverse
Anal biopsy abnormal,adverse
Biopsy anus abnormal,adverse
Biopsy bladder abnormal,adverse
Biopsy of bladder abnormal,adverse
Bladder biopsy abnormal,adverse
Biopsy bone abnormal,adverse
Bone biopsy abnormal,adverse
Orbit biopsy abnormal,adverse
Biopsy bone marrow abnormal,adverse
Bone marrow biopsy abnormal,adverse
Biopsy brain abnormal,adverse
Brain biopsy abnormal,adverse
Biopsy breast abnormal,adverse
Breast biopsy abnormal,adverse
Biopsy bronchus abnormal,adverse
