Unnamed: 0	Analysis of efficacy
402	Hemodynamic Assessment  (pre-TAVR)
403	Procedural Evaluation and Performance of Patients Undergoing TAVR
404	Post-Procedure TAVR Valve Performance
405	Cardiovascular and Device Complications  (Prior to Discharge)  of Patients Undergoing TAVR
406	In-Hospital Mortality and Cause of Death of Patients Undergoing TAVR
407	Periprocedural Details in the CR and IRA-Only Groups
408	Pre-Discharge and Follow-Up CMR
409	Clinical Outcomes
410	Modifiable Risk Factors by Sex and Country
411	Cardiorespiratory Fitness Gain
412	Severity Scores for Potential Outcomes in Anti-SSA/Ro-Exposed Fetuses
413	Cord Blood Biomarkers Associated With Cardiac NL
414	MRI Examination Sequences for Study Scan
415	Summary of HFpEF Diagnosis Guidelines
416	Inclusion Criteria in Selected Previous and Ongoing Clinical Trials and Registries of Patients With HFpEF
417	In-Hospital Course
418	Predictors of the Presence of Severe  (>70%)  Carotid Stenosis  ∗
419	CREST Results in Patient Subgroups  ∗
420	Factors in Choice of Carotid Revascularization Methods
421	Elements of Intensive Medical Therapy in SAMMPRIS Study
422	Annual Risk of Stroke in Patients With AsymptomaticStenosis
423	Current and Future Carotid Stenosis Trials
424	Hazard Ratios  (95% CI)  for Primary and Secondary MACE Endpoints Associated With CAC and cPB
425	Impact of Adding cPB or CAC to Conventional Risk Factors on Model Performance for Prediction of Primary and SecondaryMACE Endpoints
426	Medical Treatment Before Procedure and During Follow-Up
427	HRs of Outcome Events During Follow-Up Depending on Post-Treatment DWI Lesions
428	Patients With HCM-Related Deaths or Major Events and Interventions
429	Univariate and Multivariate Predictors of HCM-Related Mortality or Life-Threatening Event
430	ECG Data for Athletes and ARVC Patients
431	Echocardiographic and CMRI Data for Athletes and ARVC Patients
432	SAECG, Holter Monitor, and Exercise Data for Athletes and ARVC Patients
433	Modified Poisson Regression Analysis of the Associations Between HDL-C/P Ratio, HDL-P Number, HDL-C, and the Progression of Carotid Atherosclerosis
434	Procedural and Post-operative Data
435	Overall Incidence of Complications
436	Odds Ratios for Death Derived From Multivariate Analysis
437	Odds Ratios for Various Complications Derived From Multivariate Analysis
438	Risk Factors for SCD in Patients With DCM
439	Risk Factors for SCD in Patients With HCM
440	Risk Factors for SCD in Patients With LVNC
441	Clinical Outcomes in the As-Treated Population
442	Clinical Parameters of Donors and iDCM Patients  ∗
443	Clinical Data of Patients Included in the Validation Cohort
444	Cardiomyocyte Contractility and Ca2+ Transient Parameters: SlowerContraction and Relaxation Velocities
445	Angiographic Results
446	Major Adverse Clinical Events
447	Comparison of Intraoperative Results and Clinical Outcome in HCM Patients With and Without Chordal Cutting
448	Geometry of the MV Apparatus Before and After Surgical Myectomy in 39 HCM Patients With and 25 Without Chordal Cutting
449	American College of Cardiology In-TrainingExamination Blueprint
450	In-Training Examination Fellow Participants
451	In-Training Examination Statistics
452	Cohort Score Changes Across Fellowship Years
453	Distinguishing Features of LQT1 AMCs
454	Association Between Cardiac Structure and Age Using a Linear Regression Model
455	PROTECT AF and CAP: Largest Data Sets to Evaluate Totality of Data
456	Histopathologic Exclusions  (N = 33)   ∗
457	Indications for Echocardiography
458	PFE Size in Patients Presenting With and Without NE
459	Symptoms in Group 1a and 1b Patients
460	Observed  ∗   Versus Expected †  CVA Rates
461	Clinical Outcomes According to MAGGIC Risk Score Category
462	Occurrence of Pre-Specified Adverse Events by MAGGIC Risk Score Category
463	Clinical Outcomes in PARADIGM-HF Patients  ∗   According to EMPHASIS-HF Risk Score
464	Mortality, MIR, and MIRR
465	Procedural Data and 30-Day Results
466	Functional Status, Echocardiography, and CT Scan Data at 3- and 6-Month Follow-Up
467	Clinical Outcomes at 1 Year
468	Landmark Analysis of Key Clinical Outcomes Between 30 Days and 1Year
469	Echocardiographic Follow-Up at 1 Year
470	Changes in PVL for Balloon- and Self-Expandable Valves: Echocardiography at Discharge Compared With 1 Year  (Patients With Data atBoth Time Points)
471	Procedural Results and Use of Medications During the Trial  ∗
472	Outcome Rates at 12 Months According to Treatment Group
473	Age- and Sex-Adjusted Rates of Peripheral Vascular Interventions, Surgical Revascularization Procedures, and HybridProceduresper 100,000 Medicare Beneficiaries by Year
474	Age- and Sex-Adjusted Rates of Peripheral Vascular Interventions per 100,000 Medicare Beneficiaries by Clinical Setting and Year
475	Total Costs of Peripheral Vascular Intervention by Procedure, Setting, and Year  ∗
476	Differences in Flow and Pressure in the Main Vessel Between the 2 Different Computational Models
477	Types of Late Cardiac Reinterventions
478	Standard 12-Lead and 24-h Holter Electrocardiogram, Bicycle Ergometry, and Echocardiography
479	Results of Additional Diagnostic Tests Performed Only in 2012
480	Univariable and Multivariable Adjusted HRs for the Primary 5-Dose Analysis and the Secondary Analysis Comparing Low (≤25%of Target Dose)  Versus High  (≥50% of Target Dose)  Dose on the Basis of the Pre-Specified Analyses and Using the ExtendedSetofCovariates
481	Sensitivity Analyses Showing Adjusted HRs for 3-Year Mortality Compared With the >50% of Target Dose Group UsingthePre-Specified MV Analysis, and the MV Analysis With the Extended Set of Covariates and Propensity Score Analysis for the 4Beta-Blocker Dose Groups
482	HRs and 95% CIs From MV Analysis of 2-Year Mortality in the 2 Pre-Specified Analyzed Cohorts According to Predictor
483	HRs and 95% CIs From the Multivariable Analysis With the Extended Set of Covariates of 3-Year Mortality in the 4Treated Beta-Blocker Dose Groups
484	Landmark Analysis of the Risk of Clinical Endpoints for Patients With and Without DM Treated With>12 Months Versus≤12Months of Clopidogrel After Index Percutaneous Coronary Revascularization With DES  ∗
485	Landmark Analysis of the Risk of Clinical Endpoints for Patients With and Without DM Treated With>12 Months Versus≤12Months of Clopidogrel After an Index Percutaneous Coronary Revascularization With BMS  ∗
486	Landmark Analysis of the Risk of Clinical Endpoints for Patients With and Without DM Treated With>12 Months Versus≤12Months of Clopidogrel After Percutaneous Coronary Revascularization With DES  ∗
487	Landmark Analysis of the Risk of Clinical Endpoints for Patients With and Without DM Treated With>12 Months Versus≤12Months of Clopidogrel After IndexPercutaneous Coronary Revascularization With BMS  ∗
488	Clinical Data of the Families Analyzed in This Study
489	Overview of Known Human HCN4 Mutations
490	Features Associated With High Risk of Carotid Endarterectomy
491	Multidisciplinary Carotid Stent Guidelines
492	Features Suggested to Increase the Risk of a Carotid Stent Procedure
493	Multivariate and Propensity-Matched Cox Regression Results
494	Subgroup Analysis: Association of Digoxin With Mortality
495	Summary of Published hiPSC Models of Cardiovascular Disease
496	Comparison of Patients With New Versus Those Without New LE After TAVR
497	Recapitulation of the Classification Systems for Cardiomyopathies in the Last50Years
498	Genetic Testing: Position of the Scientific Societies
499	Multivariate Predictors of an Inadequate DSM
