	Analysis of efficacy
5572	Frequencies of sulI and sulII genes among E coli isolates in 1991 and 1999
5573	Main clinical features of neutropenic patients with S prolificans infection
5574	General features of Staphylococcus aureus N315 and Mu50 genomes
5575	Genes likely to have undergone horizontal transfer
5576	Antibiotic resistance genes identified in N315 and Mu50 genomes
5577	Known virulence genes and new candidates identified in N315 and Mu50 genomes
5578	Susceptibility results for linezolid-resistant VREF
5579	Total IgE antibodies, antigen-specific IgE antibodies, and skin-prick test reaction
5580	Distribution of 84 people with vCJD by standard region of residence on Jan 1, 1991
5581	Comparison of cumulative vCJD incidence between the north  *   and south  †   of Great Britain
5582	Regional variations in quantities of foods consumed per week from 1986 to 1987  *
5583	Regional variations in quantities of foods per week brought into the home from 1984 to 1986  *
5584	Hemodynamic Measurements at 56 Days After Infarction
5585	Summary of the effect of an increase of 2% energy in trans fatty-acid intake on coronary heart disease  *   reported in prospective studies
5586	Cell-wall-deficient blood-culture isolates from BMT recipients and their antibiotic-sensitivity patterns
5587	Details of diagnosis and other factors in patients with syncope and presyncope
5588	Results of autonomic tests in major groups of patients with chronic autonomic failure, vasovagal syncope, carotid sinus hypersensitivity, psychiatric comorbidity and no definitive diagnosis
5589	Cardiovascular Medication Taken at the Time of the Study
5590	Hemodynamic Parameters for the Three Groups at the Time of IVUS Study of the LAD
5591	Morphologic and Mechanical Properties of the Proximal LAD in the Three Groups
5592	Average K1 distribution volume  (mL/gm) , and Bmax/Kd of [C-11]raclopride of obese individuals and controls
5593	Regional brain metabolic measures  (mmol/100gm/min)  in obese individuals and controls
5594	Severity of index reactions  (before management)  and subsequent follow-up reactions in patients with peanut and nut allergy
5595	Treatment self-administered by patients who had a follow-up reaction
5596	Link between amount of nut eaten and severity of follow-up reaction
5597	Prevalence of other allergies in patients with peanut and tree nut allergy
5598	Comparison of severity of index and follow-up reactions in 88 patients
5599	Treatment administered in hospital for patients who had follow-up reactions
5600	Link between current asthma control and the severity of follow-up reactions
5601	t (11;18, q21;q21)  in H pylori eradication responsive and non-responsive gastric MALT lymphomas
5602	Susceptibility to ciprofloxacin for clinical isolates of N gonorrhoeae from 1991 to 1999
5603	Details of primary and health-care worker cases
5604	Absolute and relative risks of secondary meningococcal disease in health-care workers  (HCW)  and sensitivity analysis
5605	Tailored FEC doses
5606	FEC dose-modification schedule
5607	Number of patients receiving tailored FEC doses
5608	Number of patients experiencing grade 3 or 4 toxicity at any time during therapy
5609	Study population and response rates
5610	Concentrations of major mite and cat allergens in carpet and mattress dust samples at different times
5611	Odds ratios for exposure to indoor allergens at age 6 months and asthma at age 7 years
5612	Drugs taken by patients
5613	Renal disease in fluorspar mining and non-mining areas of Upper Weardale and local renal clinic
5614	Occupational silica exposure, and renal diagnosis of identified cases
5615	Occurrence of early  (during oral ganciclovir prophylaxis)  and late cytomegalovirus disease
5616	Inhaled and intravenous pharmacokinetic parameters
5617	Results of cortisol measurements as measure of effects on the hypothalamoic-pituitary-adrenal axis function
5618	Survival hazard ratios for experimental over bolus fluoropyrimidines  (control) , according to initial performance status and tumour response to treatment
5619	Plasma uracil concentrations before 18F-fluorouracil injection in each period
5620	Blood flow in spleen and tumour
5621	AUCs for time-activity curves
5622	Concentrations of selected dioxin congeners
5623	Birth and deaths before age 1 year and between 1 and 5 years
5624	Clinicopathological features of patients
5625	Univariate analysis of survival
5626	Univariate analysis of survival benefit from chemotherapy for tumour site and sex
5627	Correlation between house-dust endotoxin concentrations and proportions of T lymphocytes in peripheral blood expressing type 1 or type 2 cytokines
5628	Randomised trials of MAB vs AS in advanced prostate cancer
5629	Causes of death other than prostate cancer
5630	Number of patients who had taken oral, parenteral, nasal, or dermal corticosteroids in the past
5631	Effect of potential confounding factors on bone- mineral density at L2–L4 in univariate analysis
5632	Effect of a doubling in cumulative dose of inhaled corticosteroid on bone-mineral density at lumbar spine and proximal femur
5633	Cells received by patients
5634	Immune-cell populations 4 weeks after transplantation
5635	Risk factors for QTc lengthening
5636	Risk factors for QTc lengthening by logistic regression and backwards stepwise regression
5637	Antipsychotic dose and risk of QTc lengthening
5638	Number of trials  (patients)  by type and timing of chemotherapy in meta-analysis comparing locoregional treatment with and without chemotherapy
5639	Meta-analysis of locoregional treatment with and without chemotherapy: effect on survival
5640	Randomised trials comparing neoadjuvant combination of cisplatin  (C)  and fluorouracil  (F)  followed by radiotherapy in responders or by radical surgery plus radiotherapy in non-responders  (arm 1)  with radical surgery plus radiotherapy  (arm 2)
5641	Larynx preservation: patients' status for disease-free Survival
5642	Quantitative Coronary Angiographic and Coronary Blood Flow Velocity Data of the Patients With an Optimal and Suboptimal Result After Balloon Angioplasty
5643	Frequency of Major Adverse Cardiac Events
5644	Number of isolates collected from each hospital during 3 years
5645	Code below as a table
5646	Effect of treatment with folic acid plus vitamin B6 on occurrence of abnormal test results
5647	Effect of 2-year treatment with folic acid plus vitamin B6 on main outcome variables in 158 healthy individuals
5648	Geometric mean  (approximate SD)  homocysteine concentrations  (μmol/L)  in cases and controls, for Europeans and Asians separately
5649	Percentage difference in homocysteine concentrations between cases and controls, for Europeans and Indian Asians separately
5650	Percentage difference in homocysteine concentrations, for controls alone, in Indian Asians compared with Europeans
5651	Deaths from CHD attributable to elevated homocysteine concentrations in Europeans and Indian Asians
5652	Proportions of eligible cases and controls interviewed by age, sex, and current residence
5653	Association of hip fracture with potentially confounding variables
5654	Lifetime exposure of study participants  (cases and controls combined)  to fluoride in drinking water according to current residence
5655	Associations of hip fracture with exposure to fluoride in drinking water
5656	Casein, β-lactoglobulin, and mTG in samples of salmon/mean  (SD)
5657	Risk factors
5658	Strongest risk factors for acute coronary events in conditional multivariate logistic regression models
5659	Mean  (SE)  blood pressure and serum lipid concentrations in quarters of distribution of serum enterolactone concentrations from ANOVA
5660	Final mortality results in three heart-failure trials with negative trends
5661	Results for two cancer prevention trials of β-carotene
5662	Dose response for HFA and CFC formulations
5663	Antimicrobial activity in the urine as detected by Bacillus stearothermophilus, Streptococcus pyogenes and Escherichia coli
5664	Number of serum folate tests, rate of testing, number and per-centage of test results <2·7 μg/L, and ≥20 μg/L, and medi-an serum folate value, 1994–98
5665	Endocervical microbial flora cultures from the mock ET and ET catheter tips
5666	Embryology events, implantation and clinical pregnancy rates
5667	Mean Segmental TRin Healthy Volunteers  (CONTROL Group)
5668	Overall efficacy profile of n-3 PUFA treatment
5669	Overall efficacy profile of vitamin E treatment
5670	Overall efficacy profile of n-3 PUFA plus vitamin E treatment
5671	Abnormal laboratory and clinical findings and toxic effects  (WHO grade ≥3)
5672	Status of patients at median follow-up of 72 months
5673	Types of recurrence
5674	Birth rates, death rates, and net migration rates
5675	Primary source of food by year
5676	Hemodynamic Responses to Dobutamine
5677	Neurochemical Responses to Dobutamine
5678	Signs of atopy according to clinical examination, skin- prick test, and blood tests in children from Steiner schools and control schools
5679	Odds ratios for atopy  (95% CI)  associated with exposure to factors typical for children in Steiner schools, plus heredity and sex
5680	Clinical syndromes in 314 patients with pneumococcal infection
5681	Antimicrobial susceptibility test results of S pneumoniae isolates
5682	Distribution of serotypes by age-group
5683	Distribution of serotypes from blood and CSF
5684	Relative risk of cancer by quintile of total heterocyclic amine intake
5685	Relative risk of cancer by quintile of estimated intake of the five heterocyclic amines studied
5686	Relative risk of cancer by quintile of total meat and fish intake
5687	STD prevalence/symptoms at round 1  (before intervention)  and rounds 2, 3  (follow-up)  intention-to-treat cohort
5688	Incidence rates of HIV-1 infection and rate ratios
5689	STD prevalence at delivery in mother and infant study
5690	Distribution of population and of observed and expected numbers of cases of variant CJD living within specified distances of 52 plants rendering bovine material in 1988
5691	Cases of variant CJD and distance from plants rendering bovine material in 1988
5692	Serological and molecular typing and presence of prtF1 gene in strains recovered from patients with eradication-failure
5693	Systolic Blood Pressure, Left Ventricular Weight and Echocardiographic Variables at the Left Ventricular Hypertrophy and Congestive Heart Failure Stages
5694	Serum Hormone Measurements
5695	Skeletal Muscle Mass and Function
5696	Mortality risk according to alcohol intake
5697	Mortality risk according to alcohol intake and age-group
5698	Effects of Vitamin Supplementation on Cytokine and Adhesion Molecule Parameters in Normal Subjects and Type 2 Diabetic Patients
5699	Antibiotic regimens and intestinal colonisation with Oxalobacter formigenes in CF patients
5700	Urine analyses of CF patients
5701	Availability of data from randomised trials that began before 1990 of prolonged polychemotherapy
5702	Clinical findings related to 102 cases of sutama in February, 1997
5703	Serological cross-reactivity between sutama-patient serum and R prowazekii and R typhii antigens before and after adsorption tests
5704	Nationwide surveillance and serological findings among sutama patients between January and September, 1997
5705	Comparison of attack rates and death rates for sutama among inmates of three jails in Burundi
5706	Failure of therapy
5707	Predictors of therapy failure by multivariate analysis
5708	Therapy failures among bacteraemic children by treatment allocation, drug sensitivity of isolate, and species isolated
5709	Status of IUD 90 days after insertion
5710	Clinic visits for gynaecological care within 90 days of IUDinsertion
5711	Univariate matched analysis of food-exposure variables
5712	Univariate matched analysis of animal and other exposure variables
5713	Conditional logistic regression analysis
5714	Quinolone resistance  (MIC μg/mL)  in K pneumoniae, E coli, and P aeruginosa
5715	Mutation frequency
5716	Quinolone susceptibility  (MIC μg/mL)  of E coliJ53 pMG252 ciprofloxacin-resistant mutants
5717	Reasons for exclusion before randomisation
5718	Clinicians' final diagnoses and patterns of antibiotic use
5719	Management at initial consultation, and subsequent use of health facilities
5720	Clinical Data of the Patients
5721	Metabolite Contents
5722	Clinical and Angiographic Data on 45 Patients
5723	Means and 95% Upper Limits for Raw, Height-Adjusted, and BSA-Adjusted LV Variables
5724	Grading Scale of the Contractile Proteins *
5725	Proportion of patients free from relapses at different time points
5726	Annualised relapse rate, expanded disability status scale  (EDSS)  score at end of study, and number of patients with EDSS score progression during the study
5727	Outcomes of magnetic resonance imaging  (MRI)  at different time points
5728	Adverse events
5729	Data on kidneys and ureters for all patients
5730	Outcome for glomerular filtration rate  (GFR)  at 4 and 10 years' follow-up
5731	Outcome at 6 months
5732	Intended and actual amount of therapy
5733	Primary outcomes
5734	Secondary outcomes
5735	Site of first recurrence by treatment
5736	Effect of radiotherapy on disease-free survival and overall survival
5737	Frequency and localisation of local recurrences by treatment
5738	Cox's proportional hazards models by time periods since surgery
5739	Cox's proportional hazard model by time periods since surgery
5740	Numbers of patients on various DMARDs and glucocorticoid use, and median dose of drugs during study
5741	Number of patients who had adverse events during the trial
5742	Logistic-regression analysis for the odds to reach remission after 2 years of treatment
5743	Effects of Atorvastatin Therapy on Lipids and Glucose
5744	Clinical endpoints
5745	Time in months to confirmed progression in disability
5746	Adverse events  (% of patients)  in first 3 months of therapy
5747	Clinical features of nine patients with pulmonary hypertension
5748	Results of echocardiography in all patients
5749	Clinical disability according to EDSS score
5750	Acute relapses
5751	Withdrawals and adverse events
5752	Health-related goals, targets, and health-related SDG indicators used in the present analysis and further details regarding any indicator modifications, and inclusion in the health-related MDG index or health-related non-MDG index
5753	Health-related SDG goals and targets proposed by the Inter-Agency and Expert Group on SDG Indicators, and health-related SDG indicators used in this analysis
5754	Health-related SDG indicators  (proposed by the Inter-Agency and Expert Group on SDG Indicators)  excluded in the present analysis, and measurement needs and strategy for future reporting, by SDG target
5755	Performance of health-related SDG indicators across all countries, 2015
5756	Serious adverse events
5757	Efficacy outcomes from the pooled data
5758	NIHSS score
5759	Safety outcomes at 90 days
5760	Treatment-emergent adverse events  (MedDRA HLT or PT)  occurring in 5% or more of patients in the placebo or combined dupilumab doses groups  *
5761	Causes of death
5762	Frequency of cancers other than breast cancer
5763	Adverse events of any severity reported at any time
5764	Definitions
5765	Change in daily prednisolone dose before and after randomisation, by group
5766	Adverse events
5767	Grade 3–4 adverse events
5768	Blood concentrations of rituximab
5769	Country-specific birthweight percentiles and prevalence of birthweight 4000 g and greater, maternal obesity, and diabetes
5770	Risk factors for macrosomia
5771	Risk of caesarean section by birthweight percentile
5772	Indication for caesarean section by birthweight in primiparous and multiparous mothers who underwent caesarean section
5773	Risk for maternal and perinatal morbidity and mortality by birthweight percentile
5774	Results of secondary efficacy analysis
5775	Safety results
5776	Adverse effects
5777	Efficacy analysis for gabapentin versus placebo in the treatment of refractory chronic cough
5778	LCQ score according to presence of central sensitisation of the cough reflex
5779	Effect of HP802-247 on wound area and wound closure
5780	Adverse events reported by at least 3% of patients
5781	Exposure to violence perpetrated by occupation forces or settlers in 2005
5782	Odds ratios  (95% CIs)  of intimate partner violence by type of political violence exposure in separate adjusted  *   multinomial regression models
5783	Odds ratios  (95% CIs)  of intimate partner violence by political violence exposures modelled simultaneously in adjusted  †   multinomial regression model
5784	Non-surgical treatments received in kyphoplasty and non-surgical care groups
5785	Patients with adverse events in the kyphoplasty and non-surgical care groups
5786	Thrombotic events
5787	Thrombotic events in secondary randomised comparisons
5788	Disease-specific outcomes by randomisation group
5789	Self-reported benefit, compliance, and frequency of use of health service resources by randomisation group
5790	Association between two single nucleotide polymorphisms and bone mineral density at lumbar spine
5791	Effect of both single nucleotide polymorphisms on bone mineral density at lumbar spine, osteoporotic fracture, and osteoporosis
5792	Digoxin Dosages and Corresponding SDCs in the Study Treatment Groups
5793	Risk of Treatment Failure Based on Randomization SDC Group
5794	Cancer risk factors, exposure variables, theoretical-minimum-risk exposure distributions, disease outcomes  *
5795	Individual and joint contributions of risk factors in  table 1  to mortality from site-specific cancers
5796	Total cancer deaths  (thousands)  by age and cancer site
5797	Survival and progression-free survival
5798	Association between TPE response and pathological pattern of multiple sclerosis, expanded disability status scale score, and neurological deficit
5799	Vaccine efficacy against first episode of radiological pneumonia  (per-protocol analysis)
5800	Vaccine efficacy against first episode of clinical or severe clinical pneumonia  (per-protocol analysis)
5801	Vaccine efficacy against first episode of invasive pneumococcal disease  (per-protocol analysis)
5802	Vaccine efficacy against first admission and all-cause mortality  (per-protocol analysis)
5803	Number of consultations, with primary diagnoses, in the week after every dose of vaccine or placebo  (intention-to-treat analysis)
5804	Degree of symptomatic carotid stenosis stratified according to subgroup variables  *
5805	Relation between subgroup variables and risk of each main element of the primary outcome measure
5806	Significance of treatment-effect modifiers for relative and absolute treatment effect for subgroup variables
5807	Estimated yearly atrophy rates according to time and method of measurement of atrophy
5808	Rate ratios  (n)  of cerebral palsy by Z-score band in gestational age-groups with use of conventional and fetal growth standards
5809	Main familial tumour syndromes associated with gliomas
5810	Effects of adjuvant CT in patients with primary CNS lymphoma treated with or without whole-brain radiotherapy
5811	Temporal relation between onset of cytomegalovirus reactivation during lactation and symptomatic primary infection of preterm infants
5812	Discordant HCMV transmission to twins during lactation
5813	Antibodies to neuronal antigens in cerebellar syndromes   Sera were screened by routine immunohistochemistry on frozen sections of rat cerebellum and positive staining patterns1 were confirmed, as appropriate, by western blotting on rat cerebellar extracts or recombinant Hu or Yo polypeptides. VGCC antibodies were measured by immunoprecipitation of 125I-ω-conotoxin MVIIC-labelled VGCCs extracted from human cerebellum,  2   and antibodies to glutamic acid decarboxylase measured with a commercial kit  (RSR Ltd, Cardiff, UK) .
5814	Fetal death in same-sex twins and different-sex twins  (1993–95)
5815	Cerebral palsy in live-born twins of same-sex stillborn co-twins and different-sex stillborn co-twins
5816	Cerebral impairments in live-born twin of same-sex stillborn co-twin, and different-sex stillborn co-twin
5817	Gestational-age specific cerebral palsy prevalence rates
5818	MRI diagnoses by suspected type of CJD
5819	Estimates of the sensitivity of radiological diagnosis of vCJD by different MRI criteria for positivity
5820	Neuroradiological assessment of MRI from 36 histologically confirmed cases of vCJD
5821	Patients' severity of illness scores, haemodynamics, biological data and treatments at inclusion
5822	Comparison of iNOS activity between tissues and degrees of infection
5823	Comparison of TNFα concentrations between tissues and degrees of infection
5824	Comparison of IL-1β concentrations between tissues and degrees of infection
5825	Virological studies on 21 patients with neurological manifestations of dengue infection
5826	Clinical features
5827	Distribution of deprivation index
5828	Distribution of cases and controls by age, sex, deprivation index, and diagnosis of case
5829	Distribution of exposure by age and deprivation status among cases and controls
5830	Odds ratios for acute lymphoblastic leukaemia, all leukaemia, cancers of the central nervous system, and other malignant disease by exposure
5831	Estimated exposure before and after adjustment for historical line-load data, among those with relevant external-source questionnaires, for cases and controls
5832	Clinical manifestations and outcome of EV71 infection in patients with pulmonary oedema
5833	Factors significantly associated with CNS involvement without pulmonary oedema
5834	Factors significantly associated with pulmonary oedema
5835	Hendra IgM antibodies and results of viral culture
5836	Summary of presenting symptoms, signs, and investigations
5837	Correlation Coefficients  (Pearson’s R2Values)  Comparing Selected Vascular Blood Flow Parameters With Indices of Plasma RAS Activation
5838	Summary of therapy directed at central nervous system for patients who received prophylactic irradiation on Total protocols X, XI, and XII
5839	Relation between parasite count and a in cultured parasites
5840	Cellular distribution of complexin mRNAs in human hippocampus and cerebellum
5841	Complexin mRNAs in schizophrenia
5842	Complexin proteins in schizophrenia
5843	Mean  (range)  values for MDMA use
5844	Mean  (SE)  values of injected doses
5845	Clinical and laboratory data
5846	Increases in blood flow during an induced attack of acute cluster headache compared with the pain-free state
5847	Unadjusted proportion of participants with chronic disease, symptoms, and poor quality of life by action level
5848	Odds ratios  (95% CI)  for chronic disease, symptoms, and poor quality of life with reference to action level 1, adjusted for age, smoking, alcohol consumption, education and physical activity, and for quality of life, employment status, household
5849	Notch3 mutations in CADASIL patients
5850	Polymorphisms in Notch3 coding sequence
5851	Haplotype analysis in families with recurrent Notch3 mutations
5852	Logistic regression of association between PCR result of virus detection in CSF nd clinical features in Oxford cohort
5853	Correlation of PCR result with clinical classification of viral infection of the CNS
5854	SDNN, RMSSD, pNN50, QRS, QRSd, QTd and QTcd: Comparison Between Patients With and Without Arrhythmias
5855	MIBG Scintigraphy Results: Comparison Between Patients Operated On and the Control Group
5856	Sensitivity and specificity of the EITB with HAMA  *
5857	MIBG Scintigraphy Results: Analysis of the Operated Patients With and Without Arrhythmias
5858	Correlations Between Scintigraphic and HRV Data  (16 patients)
5859	Mean  (SE)  concentration of serum GH, plasma, GHRH, and plasma noreprephrine before and after clonidine infusion
5860	Blood clearance of mannose-terminated glucocerebrosidase  (mt-GCR)
5861	Clearance of 123I-mt-GCR from liver and spleen over a 48 h period
5862	Estimated number of patients diagnosed with an index cancer worldwide each year around 2012
5863	Definition of malignancies and number of contributing countries and registries by calendar period of diagnosis
5864	Data quality indicators: patients diagnosed during 2000–14 by continent and country
5865	Population covered by participating registries  (number of people and percentage of national population)  and number of adults diagnosed with cancer of the oesophagus, stomach, colon, rectum, liver, pancreas, or lung, or melanoma of the skin during 2000–14 by continent and country
5866	Population covered by participating registries  (number of people and percentage of national population)  and number of patients diagnosed with cancer of the breast  (women) , cervix, ovary, prostate, or brain, or myeloid or lymphoid malignancies  (adults) , and brain, acute lymphoblastic leukaemia, or lymphoma  (children)  during 2000–14 by continent and country
5867	Age-standardised 5-year net survival  (%)  with 95% CI: adults  (15–99 years)  diagnosed with one of eight common malignancies  (oesophagus, stomach, colon, rectum, liver, pancreas, lung, or melanoma of the skin)  by continent, country, and calendar period of diagnosis
5868	Age-standardised 5-year net survival  (%)  with 95% CI: adults  (15–99 years)  diagnosed with one of seven common malignancies  (breast, cervix, ovary, prostate, brain, myeloid, and lymphoid)  and children  (0–14 years)  diagnosed with one of three common malignancies  (brain, acute lymphoblastic leukaemia, and lymphoma)  by continent, country, and calendar period of diagnosis
5869	Summary results of primary and secondary endpoints
5870	Summary of SAEs
5871	Risk of adverse events of interest
5872	Rates of all adverse events, stratified by system organ classification, in the blinded randomised phase
5873	Rates of all adverse events, stratified by system organ classification, in the non-blinded non-randomised phase
5874	Competing-risk model for disease complications and early anti-TNFα comparative effectiveness analysis
5875	Competing-risk model including extracellular matrix gene signature
5876	Number of deaths and person-years in the 2001 Spanish Census Cohort of people aged 10–74 years, by indicators of household wealth and calendar year
5877	Comparison of time trends in premature mortality before and during the 2008 economic crisis, by cause of death  (ICD-10 code  *  )  and socioeconomic group according to household space in the 2001 Spanish Census Cohort of people aged 10–74 years
5878	Comparison of time trends in premature mortality before and during the 2008 economic crisis, by cause of death  (ICD-10)   *   and socioeconomic groups  †   and household car ownership, in the 2001 Spanish Census Cohort of people aged 10–74 years
5879	Comparison of time trends in all-cause premature mortality before and during the 2008 economic crisis, by two indicators of household wealth  *   and sex and age group  †  , in the 2001 Spanish Census Cohort of people aged 10–74 years
5880	Percentage of patients in the intention-to-treat population fulfilling response criteria
5881	Adverse reactions deemed by investigator to be possibly, probably, or definitely related to treatment
5882	Health-care costs and QALYs over 12 months
5883	Intraoperative data and early postoperative complications within 6 months of surgery
5884	Causes of small bowel obstruction
5885	Multivariable logistic regression analysis for the effect of treatment on the primary endpoint  (ACR20 at 48 weeks post randomisation)
5886	Univariable analysis  (χ 2 test of independence)  for the proportion of patients in the evaluable patient population achieving a response at 48 weeks post randomisation for the key secondary endpoints
5887	Intrasubject and Intersubject Variabilities and Reproducibilities
5888	Primary outcome at 6 months
5889	Mortality at 6 months
5890	Thrombotic events and adverse events
5891	Efficacy outcomes
5892	Adverse events
5893	Estimated average differences between levodopa and levodopa-sparing groups, and between dopamine agonist and MAOBI, in the different PDQ-39 subscales and in EQ-5D utility score
5894	Adverse events possibly or probably related to study drug, by dose group
5895	Adverse events overview
5896	Anti-phenylalanine ammonia lyase antibody response, by dose group
5897	Anti-polyethylene glycol antibody response, by dose group
5898	Summary of efficacy parameters
5899	Total and specific treatment-emergent adverse events reported by at least 3% of patients in either treatment group
5900	Comparison of the efficacy of EMA401 versus that of approved postherpetic neuralgia treatments
5901	Site of first disease-free survival event
5902	Adverse events  (safety populations)
5903	Types of diseases and surgical procedures in patients undergoing upper gastrointestinal surgery
5904	Types of diseases and surgical procedures in patients undergoing lower gastrointestinal surgery
5905	Primary outcome and its components in modified intention-to-treat population
5906	Secondary outcomes in the modified intention-to-treat population
5907	Emergent mutations in participants who had virological failure
5908	Safety results: deaths, serious adverse events, and adverse events
5909	Serious adverse events
5910	Primary outcome measures at 52 weeks, stratified by dementia status at randomisation
5911	Treatment-related adverse events of grade 2 or higher reported in at least 5% of patients by dose
5912	Primary outcomes of research worker rated CSDD score
5913	Comparisons of secondary participant and carer outcomes and depression severity
5914	Adverse reactions definite, probable, and possibly related to study intervention by week 39
5915	Overview of the locus, gene, and function of definite and probable genetic risk factors for ankylosing spondylitis
5916	Pooled analysis of the effect of allocation to aspirin on risk of death due to cancer during the seven trials from which individual patient data were available,  17–21,23,24   stratified by type of primary tumour and period of follow-up
5917	Pooled analysis of the effect of allocation to aspirin on the 20-year risk of death due to cancer during and after the trial treatment periods in the 10 502 patients with scheduled treatment duration of 5 years or longer in the three trials with long-term follow-up,  17–19   stratified by type of primary tumour and period of follow-up
5918	Effects on primary and major secondary endpoints
5919	Incidence of relevant serious adverse events during the study by system organ class
5920	Selected adverse events and those leading to definitive withdrawal of study drug
5921	Efficacy of pentavalent rotavirus vaccine for prevention of rotavirus gastroenteritis and gastroenteritis for complete follow-up in Africa
5922	Efficacy of the pentavalent rotavirus vaccine for prevention of severe rotavirus gastroenteritis  (Vesikari score ≥11)  in Africa by country and follow-up period
5923	Antirotavirus IgA and SNA seroresponse rates and geometric mean titres after the third dose in recipients of pentavalent rotavirus vaccine and placebo in the immunogenicity subset  *
5924	Serious adverse events 1–14 days after any dose of pentavalent rotavirus vaccine or placebo
5925	Dose conversion for inhaled insulin to rapid-acting insulin analogue
5926	Treatment-emergent adverse events  (safety population)
5927	Hypoglycaemia incidence and event rate  (safety population)
5928	Severe hypoglycaemia event rates by time of the day  (safety population)
5929	Recurrence and survival  (all patients) , after a median follow-up of 45 months
5930	Recurrence and survival for patients at true high-intermediate risk after pathology review  (n=366)
5931	Design and eligibility criteria of primary prevention trials
5932	Comparison of proportional and absolute effects of aspirin in primary and secondary prevention trials
5933	Rate ratios  (95% CI)  associated with risk factors for selected outcomes in people with no known vascular disease in primary prevention trials
5934	Inclusion and exclusion of the study participants who underwent randomisation
5935	Incidence of events for efficacy analysis
5936	Safety outcomes
5937	Admission risk markers for GBS  5
5938	Endoscopic findings in phase one, by GBS
5939	Comparison of GBS and admission and full Rockall scores for prediction of intervention or death across the four study sites
5940	Comparison of data before and after introduction of GBS low-risk criteria into clinical practice
5941	Vaccine efficacy against any and severe rotavirus gastroenteritis, admission, and medical attention  (according-to-protocol cohort)
5942	Vaccine efficacy against any and severe rotavirus gastroenteritis according to detected rotavirus G types  (according-to-protocol cohort)
5943	Vaccine efficacy against all-cause severe gastroenteritis and admission  (according-to-protocol cohort for efficacy)
5944	Incidence of venous thromboembolic events up to day 14 in the efficacy group
5945	Occurrence of venous thromboembolism  (VTE)  and deep vein thrombosis  (DVT)  according to National Institutes of Health Stroke Scale  (NIHSS)
5946	Occurrence of haemorrhage according to National Institutes of Health Stroke Scale  (NIHSS)
5947	Safety outcomes
5948	Effect of treatment on primary and secondary outcomes  15
5949	Clinical and laboratory evidence of safety of fenofibrate
5950	Efficacy of treatment
5951	Secondary outcomes
5952	Morbidity and survival
5953	Vaccine efficacy for incident HPV-16/18 infections
5954	Vaccine efficacy for persistent HPV16/18 infections
5955	Vaccine efficacy in preventing cytological abnormalities associated with HPV-16/18 infection  (intention-to-treat cohort)
5956	Timeline of virological, cytological, and histological findings among the seven women with HPV-/-associated abnormal cytology that was histologically confirmed as CIN  (intention-to-treat cohort)
5957	Adverse events after any vaccine dose in according-to-protocol cohort for safety
5958	Anti-HPV antibody response to HPV-16 and HPV-18 virus-like particles  (according-to-protocol cohort)
5959	Response classified by underlying cause
5960	Adverse events reported during first 14 days of study
5961	Numbers of fractures in the olpadronate and placebo groups
5962	Clinical features of patients with MADH4 mutations
5963	Features of previously reported juvenile polyposis patients with associated hereditary haemorrhagic telangiectasia phenotypes
5964	Cox proportional-hazards models
5965	Adverse events in 553 patients  (safety population)
5966	Secondary endpoints
5967	Endpoints of PROSPER
5968	Incidence of primary end point, according to subgroup
5969	First new cancer diagnoses by site and year
5970	Outcomes in the two study groups
5971	Per protocol analysis
5972	Most relevant side-effects  (grade 2 and 3)  during first 8 weeks, dose reductions, and dose intensity
5973	Duration and severity of illness in intention-to-treat population and influenza-infected patients
5974	Effect of oseltamivir treatment on antibiotic use
5975	Concomitant drug treatments
5976	Figures, hazard ratios and p-values for the study cumulative endpoints and individual components
5977	Summary of adverse events
5978	Event rate in patients taking β-blockers with or without diltiazem
5979	Macronutrient composition per L and fatty acid composition of standard and supplemented study formula as percentage of total fat
5980	Withdrawals in the randomised trial because of adverse events
5981	Developmental outcomes in the randomised trial at 9 months
5982	Formula tolerance and intake in randomised trial
5983	Growth of infants in the randomised trial during the intervention period and throughout follow-up
5984	Exploratory analysis on infection-related events arising up to 9 months in the course of the randomised trial
5985	Comparison of adjusted developmental and growth outcomes at 9 months and 18 months in formula roups with reference breastfeeding groups
5986	Effect of raw and cooked parent, parent+GNA, and GNA+GM potatoes on histological indices of rat gut
5987	GNA binding to the jejunum and ileum of rats given diets containing GNA-GM potatoes or parent potato diets spiked with GNA
5988	Incidence  (per 100 000, 95% CI)  of inflammatory bowel disease among individuals below 17 years of age in northern Stockholm, Sweden, 1990–98
5989	Effect of Placebo, Quinapril and Losartan on Plasma t-PA Antigen and Activity Concentrations in the Infused and Noninfused Forearms During Substance P, Sodium Nitroprusside and Bradykinin Infusion
5990	Incidence of PCP
5991	Risk of developing PCP
5992	Primary, secondary, and further endpoints
5993	Subgroup analysis, stratified by onset-to-treatment interval  (analyses of patients who actually received treatment)
5994	Cases of intracranial haemorrhage up to day 7 in patients who actually received treatment
5995	Adverse events during initial curative treatment and chemosuppression
5996	Percentage predictive efficacy of treatment
5997	Clinical profile of 12 cases of influenza A subtype H5N1 infection
5998	Risk factors associated with severe disease requiring intensive care and ventilatory support
5999	Clinical and laboratory data at randomisation
6000	Rate of and reasons for treatment failure
6001	Adverse events during infusion period
6002	Number of live births per neonatal screening period by team
6003	Neonatal screening by location and risk categories and presence of individual risk factors
